username,name,email,password,gender,marriage,income_prospect,asset_level,income_level,finance_type,product_list
user_1,User 1,user1@example.com,password1,female,single,decreasing,500m_to_1b,100m_to_300m,spender,"{""deposits"": [37], ""savings"": [164, 162]}"
user_2,User 2,user2@example.com,password2,female,married,decreasing,10m_to_50m,70m_to_100m,saver,"{""deposits"": [56, 34, 21, 59], ""savings"": [135, 155]}"
user_3,User 3,user3@example.com,password3,female,single,stable_increase,100m_to_500m,50m_to_70m,planner,"{""deposits"": [], ""savings"": []}"
user_4,User 4,user4@example.com,password4,female,single,unstable,50m_to_100m,below_30m,saver,"{""deposits"": [60, 43, 88], ""savings"": [129, 161, 193]}"
user_5,User 5,user5@example.com,password5,male,married,stable_increase,below_10m,100m_to_300m,spender,"{""deposits"": [56, 16], ""savings"": [149]}"
user_6,User 6,user6@example.com,password6,male,single,unstable,above_1b,100m_to_300m,planner,"{""deposits"": [50, 54, 93, 98], ""savings"": [174, 147]}"
user_7,User 7,user7@example.com,password7,male,married,stable_increase,below_10m,above_300m,planner,"{""deposits"": [39, 86, 35, 2], ""savings"": [159]}"
user_8,User 8,user8@example.com,password8,male,married,decreasing,10m_to_50m,above_300m,investor,"{""deposits"": [22, 95, 68, 38], ""savings"": [116, 174, 109, 200]}"
user_9,User 9,user9@example.com,password9,male,married,stable_increase,10m_to_50m,above_300m,spender,"{""deposits"": [50, 93, 60], ""savings"": []}"
user_10,User 10,user10@example.com,password10,male,single,decreasing,500m_to_1b,50m_to_70m,planner,"{""deposits"": [39, 23, 41, 10], ""savings"": [153, 162, 137]}"
user_11,User 11,user11@example.com,password11,female,single,stable_increase,100m_to_500m,50m_to_70m,saver,"{""deposits"": [56, 48, 72], ""savings"": [116, 144, 147]}"
user_12,User 12,user12@example.com,password12,female,single,unstable,below_10m,50m_to_70m,saver,"{""deposits"": [], ""savings"": []}"
user_13,User 13,user13@example.com,password13,female,married,decreasing,above_1b,100m_to_300m,saver,"{""deposits"": [56, 63, 35, 88], ""savings"": [103, 180, 141, 153]}"
user_14,User 14,user14@example.com,password14,female,single,stable_increase,below_10m,30m_to_50m,planner,"{""deposits"": [32], ""savings"": []}"
user_15,User 15,user15@example.com,password15,male,single,unstable,10m_to_50m,30m_to_50m,spender,"{""deposits"": [71, 9], ""savings"": [196, 114]}"
user_16,User 16,user16@example.com,password16,male,married,decreasing,above_1b,70m_to_100m,investor,"{""deposits"": [57, 91, 56, 79], ""savings"": [120, 160, 158]}"
user_17,User 17,user17@example.com,password17,male,single,decreasing,500m_to_1b,50m_to_70m,investor,"{""deposits"": [84, 93, 15], ""savings"": [142]}"
user_18,User 18,user18@example.com,password18,female,married,unstable,10m_to_50m,30m_to_50m,spender,"{""deposits"": [], ""savings"": [195]}"
user_19,User 19,user19@example.com,password19,male,married,decreasing,50m_to_100m,above_300m,spender,"{""deposits"": [62, 48], ""savings"": [118, 138, 124, 188]}"
user_20,User 20,user20@example.com,password20,male,married,decreasing,above_1b,above_300m,spender,"{""deposits"": [], ""savings"": [200, 132]}"
user_21,User 21,user21@example.com,password21,male,single,stable_increase,above_1b,below_30m,investor,"{""deposits"": [69, 48], ""savings"": [120, 114]}"
user_22,User 22,user22@example.com,password22,male,married,decreasing,100m_to_500m,50m_to_70m,spender,"{""deposits"": [], ""savings"": [185, 194, 130, 196]}"
user_23,User 23,user23@example.com,password23,female,single,decreasing,10m_to_50m,70m_to_100m,investor,"{""deposits"": [88, 42, 94, 92], ""savings"": [194, 167, 186]}"
user_24,User 24,user24@example.com,password24,male,single,unstable,above_1b,below_30m,saver,"{""deposits"": [41, 40, 2, 8], ""savings"": [152, 175, 126]}"
user_25,User 25,user25@example.com,password25,male,married,decreasing,below_10m,30m_to_50m,spender,"{""deposits"": [43, 79, 14], ""savings"": [127, 181]}"
user_26,User 26,user26@example.com,password26,female,married,stable_increase,below_10m,above_300m,investor,"{""deposits"": [55, 25, 9, 61], ""savings"": [174, 148, 161]}"
user_27,User 27,user27@example.com,password27,female,single,decreasing,100m_to_500m,above_300m,investor,"{""deposits"": [77, 19, 62], ""savings"": [195, 139, 179]}"
user_28,User 28,user28@example.com,password28,male,single,stable_increase,below_10m,100m_to_300m,investor,"{""deposits"": [64, 86, 17, 59], ""savings"": [181]}"
user_29,User 29,user29@example.com,password29,female,married,decreasing,50m_to_100m,50m_to_70m,investor,"{""deposits"": [1, 92, 63, 17], ""savings"": [169, 131, 128, 197]}"
user_30,User 30,user30@example.com,password30,female,single,stable_increase,100m_to_500m,70m_to_100m,planner,"{""deposits"": [], ""savings"": [158, 127, 178]}"
user_31,User 31,user31@example.com,password31,female,single,decreasing,above_1b,50m_to_70m,investor,"{""deposits"": [26], ""savings"": [181, 130]}"
user_32,User 32,user32@example.com,password32,female,married,decreasing,50m_to_100m,70m_to_100m,spender,"{""deposits"": [17, 10, 33], ""savings"": [182]}"
user_33,User 33,user33@example.com,password33,male,single,stable_increase,50m_to_100m,100m_to_300m,spender,"{""deposits"": [79, 30, 11], ""savings"": [120, 158]}"
